feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
ofi_pct,fwd_micro_10s,1674555,97,-0.42632936265273824,0.2533573063324755,0.9828404729924564,0.15445988975992708,6.363078948975422,0.9878787878787878,0.20082350236331442,10,8 OFI,0.9828404729924564
micro_ret,fwd_mid_30s,1691820,98,-0.5643260095126232,0.3521721157309366,0.9787931381949851,0.14773369886777343,6.625388423199486,0.9878787878787878,0.159335508505633,10,4 マイクロプライス,0.9787931381949851
ofi_5s,fwd_mid_3s,1691723,98,-0.44654162612003173,0.4308491826869568,0.9787138784396908,0.061026227590997836,16.037594278301153,0.9999999999999999,0.12893600193412277,10,8 OFI,0.9787138784396908
size_wgt_imb,fwd_micro_3s,1691821,41,-0.4659446539507297,0.09861722553854634,0.9744052670048519,0.13774855844187356,7.0737964740010435,0.7939393939393938,0.44660516685866886,10,12 攻撃的な約定フロー,0.9744052670048519
ofi_2s,fwd_micro_10s,1691814,98,-0.49536435051264827,0.42922279244076905,0.9742156365516332,0.13306070564704675,7.321587780661644,0.9878787878787878,0.1471166452104073,10,8 OFI,0.9742156365516332
trade_imb,fwd_micro_3s,1691821,41,-0.4659446539507297,0.0983627554762738,0.9741711637823165,0.13776896549919454,7.071049421417133,0.7939393939393938,0.44656674671847674,10,12 攻撃的な約定フロー,0.9741711637823165
aggr_acc,fwd_mid_60s,1691821,98,-0.4942907349493241,0.2318959337074207,0.9597951027466708,0.09259121623346993,10.365941196047531,0.9393939393939393,0.2756952419907307,10,12 攻撃的な約定フロー,0.9597951027466708
ofi_pct,fwd_mid_1s,1674555,97,-0.35333369595657177,0.19940369439524552,0.957091974164632,0.09445731883817375,10.132533782843677,0.9878787878787878,0.20082350236331442,10,8 OFI,0.957091974164632
d_micro,fwd_mid_60s,1691820,98,-0.5919819450469115,0.35667194944535374,0.9563492028417158,0.18821912356143733,5.081041632464887,0.9151515151515152,0.15974867302668133,10,4 マイクロプライス,0.9563492028417158
micro_ret,fwd_mid_60s,1691820,98,-0.5830407881628983,0.359045707583798,0.9533377454536609,0.18664537895988162,5.107748987766665,0.9272727272727272,0.159335508505633,10,4 マイクロプライス,0.9533377454536609
ofi_z,fwd_micro_30s,1691821,98,-0.4340854247982469,0.46793727041441324,0.951174165415135,0.13638488521259712,6.974190460566376,0.7575757575757575,0.10985500239091488,10,8 OFI,0.951174165415135
