feature,corr_two_versions,rel_level,r_real,r_l1,dr
qb1,0.7568285044382527,-0.040451091870503504,-0.012384885881142402,-0.01814595497391816,-0.005761069092775758
qa1,0.7863548300916845,-0.03762759407584567,0.01987629388432302,0.020917131133868432,0.0010408372495454114
cum_b1,0.7568285044382527,-0.040451091870503504,-0.012384885881142402,-0.01814595497391816,-0.005761069092775758
cum_a1,0.7863548300916845,-0.03762759407584567,0.01987629388432302,0.020917131133868432,0.0010408372495454114
qb2,0.9843214057789924,-0.05882353585690328,0.01767474293709727,0.014327157518598147,-0.0033475854184991244
qa2,0.9911144760600042,0.004081640845286294,-0.024884311773410044,-0.022533714333404262,0.0023505974400057812
cum_b2,0.7988645489795758,-0.03687218936953128,-0.0028180736168474073,-0.007600640334199692,-0.004782566717352285
cum_a2,0.8196197821314977,-0.0407962589646118,0.005222356881197102,0.005590578125822677,0.0003682212446255743
qb3,0.975370555046849,NaN,0.011656779409658174,0.00964790671785702,-0.0020088726918011546
qa3,0.982158568949198,NaN,-0.01731113737904156,-0.0151702855785307,0.00214085180051086
cum_b3,0.8189213711116826,-0.03094217050907087,0.0012950817314552566,-0.003266625943066626,-0.004561707674521883
cum_a3,0.8313518203690632,-0.0459200922572028,-0.0004532516391935166,-3.1166452967093528e-6,0.00045013499389680723
qb5,0.980066714363888,NaN,0.007707531496182077,0.0064121515690377055,-0.0012953799271443718
qa5,0.9706045058448257,NaN,-0.010627900043841763,-0.00995110212460783,0.0006767979192339318
cum_b5,0.8428056834342241,-0.03539497880705964,0.005550254611702955,0.0011665773309802137,-0.004383677280722741
cum_a5,0.8483982415299591,-0.024397722540209506,-0.004529565851087257,-0.00418768660612639,0.00034187924496086736
qb10,0.9630325932199952,NaN,0.006233586446523605,0.005970150383968897,-0.00026343606255470765
qa10,0.9820056345370903,NaN,-0.010211103630311167,-0.00869723973017902,0.0015138639001321466
cum_b10,0.8728769602151822,-0.02374750041444181,0.011405267125265907,0.007556033533939506,-0.0038492335913264016
cum_a10,0.8724423743736797,-0.021462835904236473,-0.01226883037264875,-0.01176376530673328,0.00050506506591547
depth_bbo,0.7481162347533145,-0.03954542036580601,0.007188117314127894,0.0031659037829470044,-0.004022213531180889
depth_cum10,0.8540836335934235,-0.03028119173924485,0.0017484422199751976,-0.0017086387132758955,-0.003457080933251093
depth_asym,0.9621070847705363,-0.006111025045571219,0.029277594076580832,0.02374475352861515,-0.005532840547965684
near_depth,0.8041878266126652,-0.047249491290420324,0.0027788989258820556,-0.0011672706291372026,-0.003946169555019258
deep_depth,0.9791830291701216,0.012158030841027985,-0.00042565804420149265,-0.001417171996015312,-0.0009915139518138192
near_deep_ratio,0.903362702991313,-0.042313688336158374,0.0002909998883457194,-0.0016535568274980814,-0.0019445567158438007
dollar_depth,0.8541728103371258,-0.030719175420856486,0.001633026987503771,-0.0018743372227214264,-0.0035073642102251973
depth_per_tick,0.854083633992204,-0.030281209871634934,0.001748442208603622,-0.001708638738840727,-0.003457080947444349
depth_per_bp,0.8541735565079165,-0.030734756449020843,0.0016345516353799075,-0.0018727776757580382,-0.0035073293111379457
liq_density,0.7215852975969296,-0.08426428763402918,0.001689867905469722,-0.0011683943334896798,-0.002858262238959402
micro1,0.999965841340248,2.989849372854004e-6,-0.020675826188994866,-0.021142954782291095,-0.0004671285932962288
delta1,0.8887427663420594,0.04258349737566636,-0.14936429077442875,-0.1541253204530839,-0.00476102967865516
micro2,0.9999638305694499,2.092532135950452e-6,-0.019790765329733246,-0.020316227983440613,-0.0005254626537073669
delta2,0.8954857897855424,0.043214067622599994,-0.082472196012569,-0.09198471890847126,-0.009512522895902265
micro3,0.9999634638962149,8.268045454627903e-7,-0.01943870044234319,-0.019989107145067228,-0.0005504067027240385
delta3,0.8979471338025965,0.043516949130403194,-0.06002235393229085,-0.07168302747552556,-0.01166067354323471
micro5,0.9999676498358745,3.070753409344962e-7,-0.019127726928112397,-0.019599732767436866,-0.0004720058393244686
delta5,0.9018770693286662,0.044387566466362785,-0.03671533515565523,-0.04651633448401962,-0.009800999328364396
micro10,0.9999718526201319,1.5744473876619312e-7,-0.018776746288421835,-0.019175954071351704,-0.0003992077829298689
delta10,0.9132928251373581,0.04411874318264448,-0.005987973226590304,-0.010018897836574071,-0.004030924609983767
micro_dw,0.9999684842570827,-1.0118167628492778e-8,-0.01918228640993852,-0.01965004806910415,-0.0004677616591656289
micro_ew,0.9999671252082217,1.2085267416609632e-6,-0.019264852309848174,-0.019759544273125186,-0.0004946919632770122
micro_notional,0.999971852886538,1.5744473876619312e-7,-0.01877674135487033,-0.019175948784102254,-0.00039920742923192296
delta1_bp,0.888682606307967,0.041498687833250295,-0.14939769292866126,-0.15422587655366476,-0.004828183625003507
delta5_bp,0.902058897502766,0.04482532053807957,-0.036750234019410744,-0.046587774242246284,-0.00983754022283554
delta10_bp,0.9137234400967429,0.04523660849685217,-0.006044543947720027,-0.010148040432469158,-0.004103496484749131
delta_disagree,0.9368669906555279,0.11479156530622013,-0.12180247852715846,-0.11821874168738083,0.0035837368397776265
micro_slope,0.9738619393626072,0.02824264724418995,0.128546228697315,0.12592437470422876,-0.0026218539930862317
obi_x_spread,0.888682606307967,0.041498687833250295,-0.14939769292866126,-0.15422587655366476,-0.004828183625003507
slope_b,0.816935996976512,-0.03546241715121988,0.00522244886318841,0.00987546519513607,0.004653016331947661
slope_a,0.8308377247606566,-0.02763821443154683,-0.009371597565536013,-0.009533295525808203,-0.00016169796027219047
