user,n,B,A_n,rate_per_s,n_days
0x3d90266d4be0e79b41b68610f383f33729e9ccb0,89623,0.8371256929113412,0.8964829949688189,0.01288602822280126,67
0xa52ac093d552f673e41a73e4b87256dec9e407ea,89372,0.5949511652630824,0.6318694417702568,0.018981740239178944,29
0x872fabfd6a78a76bf0219086c011b1e5d4c95312,88671,0.32555961034463665,0.3420181612561598,0.01462180648002439,68
0xcde682fc64f38967b71cfd00803d4ba3d60e49d1,87824,0.45557184974278725,0.46241367810500944,0.11336090449589442,11
0xcc775e17055e1ac99b8d85d41586c9efc912cce4,86710,0.33169654730706244,0.34479202087138927,0.013915544428226954,74
0x121c93d3accf50bab046fe499fcefc07fbe6386a,86489,0.32522318702703823,0.34606092759674256,0.01022816322411799,94
0x1e8ea5bc8b3e3eddd35c203807a8f9cf158d266d,84896,0.686739616932972,0.7813327441587403,0.004779665243113315,53
0x27abb587437e568d67dc965d654be54819898878,83196,0.9132334653379511,0.9483970264635591,0.04964840726335763,24
0x211b221752f592aa807355786b59202f5d630e40,81776,0.9115266950318127,0.9413980821456901,0.045426058486745434,27
0xb30bda7a381f676e7ccbc22c22c9e594a10d2ead,79398,0.3138453693349894,0.32669285087566485,0.013799079822498074,63
0x90ace6f5de13a41c614ce2ec64d609c7639fdd10,79286,0.6150750656277246,0.6512501657017513,0.010798988654667609,32
0x29823106527c93f4cca0e2da2d0a91332ae317ba,78551,0.4968663003831327,0.5270938651157946,0.01647506181927216,57
0x949b24b7a2afc81b9c01e7d61da85ba06444eb05,77638,0.5901994516799067,0.6170614963302546,0.00800622940804176,30
0x723fe6e68bced0a7029d336ba84d5e08080fd5d9,77161,0.33106758364267125,0.34824588057454453,0.011089975499686124,74
0x2ca478d068ab83150596400a324dd08098d132ac,76153,0.31673427946787736,0.3276231150032185,0.013984400224988692,63
0x86c4e46e1e6177996ede8ad50149af10b17fe99d,75091,0.552868250268038,0.5678408659483257,0.020983639723728756,28
0x2bfab9feba64c091da9ed2e3d82620257d546eb2,74876,0.4861329025163928,0.5202864168965333,0.010276782367327729,81
0x25e7de497c501f102e88f1798c003042f14eb9bb,73961,0.23920476200803603,0.24620595374844895,0.019142483897848013,46
0x91344baffce7b403d57a6d7260f500a4d501f73b,73932,0.3000419497193114,0.32759731696040817,0.011540395969618497,72
