coin,regime,name,h,n,fwd_bp,se,t,fwd_placebo_bp,fwd_all_bp,fwd_rv_bp
INTC,6,R6 高ボラ/両建て,60,2417372,0.10017194804217479,0.07311361457785355,1.370086113517322,0.006999990738776892,-0.0029971716604995837,10.004788138623715
INTC,1,R1 低ボラ/中立,300,3696408,-0.2898156707820751,0.17022997830493392,-1.7024949052330058,-0.03833546317264032,-0.015275034854761173,20.2593549289612
INTC,2,R2 低ボラ/上,300,654979,-0.06371060033429436,0.24917123740909836,-0.25569002665300405,0.0601008378476172,-0.015275034854761173,23.29214388681872
INTC,3,R3 低ボラ/下,300,643400,-0.5134215616915455,0.24814688856120867,-2.0690227657837563,-0.0018580621158878492,-0.015275034854761173,23.782563060022966
INTC,4,R4 高ボラ/上,300,572851,1.0086428203475197,0.32148871915898913,3.1374127931646187,-0.0928412455237212,-0.015275034854761173,23.58891073613807
INTC,5,R5 高ボラ/下,300,566547,-0.2646977938355895,0.2998954725001068,-0.8826335110327324,-0.05066493930716789,-0.015275034854761173,23.555132545111686
INTC,6,R6 高ボラ/両建て,300,2417316,0.39373628528195037,0.3217466539624765,1.223746324733713,0.00956445259022449,-0.015275034854761173,23.491596110280202
AMD,1,R1 低ボラ/中立,10,3651680,-0.00043464805739184517,0.005132452420053417,-0.08468623219839248,0.0010410949741660011,0.0029616425603099018,1.8284236453507312
AMD,2,R2 低ボラ/上,10,724246,0.29582038753906603,0.021821534475940804,13.556351312746633,0.014189247539019895,0.0029616425603099018,2.27647584903661
AMD,3,R3 低ボラ/下,10,682297,-0.3242125267279045,0.023027162944836213,-14.079568877181565,0.002125918413803744,0.0029616425603099018,2.3061246267579563
AMD,4,R4 高ボラ/上,10,633733,0.2989085076544026,0.03530141330925532,8.46732409934519,-0.0038248092569473867,0.0029616425603099018,2.686170031051084
AMD,5,R5 高ボラ/下,10,622793,-0.2787978911357489,0.030416978161560426,-9.165864197781515,0.00042254807446367917,0.0029616425603099018,2.6688121096541626
AMD,6,R6 高ボラ/両建て,10,2237040,-0.00134051305956289,0.012200577101354073,-0.10987292227464503,0.0019025844560076623,0.0029616425603099018,2.50287276820248
AMD,1,R1 低ボラ/中立,60,3651673,0.009154629667654733,0.026226525530293348,0.3490599491373929,0.00912905544634183,0.017765679180386688,5.652758538079652
AMD,2,R2 低ボラ/上,60,724243,0.48329519479898286,0.05513264875636677,8.766043455207138,-0.00877706148978463,0.017765679180386688,6.737912431248006
AMD,3,R3 低ボラ/下,60,682294,-0.543137589483177,0.05536565919569407,-9.810008539109353,0.03074589142488395,0.017765679180386688,6.810788472723461
AMD,4,R4 高ボラ/上,60,633732,0.5695523750205926,0.11171870264007656,5.0980933501843095,-0.017709171628703873,0.017765679180386688,7.375919817246093
AMD,5,R5 高ボラ/下,60,622785,-0.5136466057283592,0.08000593095764699,-6.4201066043499955,0.06071207551619758,0.017765679180386688,7.329927348762195
AMD,6,R6 高ボラ/両建て,60,2237012,0.03162082290902285,0.06166992411148359,0.5127430163828387,0.041770776793278036,0.017765679180386688,6.99767393218203
AMD,1,R1 低ボラ/中立,300,3651590,0.03660958471673389,0.13584005476055638,0.26950507919968936,0.07415206991276602,0.08849140479796352,13.992934135475661
AMD,2,R2 低ボラ/上,300,724243,0.6478725931284667,0.19634931271325418,3.2995918558401622,0.021348217807795028,0.08849140479796352,16.220588115020576
AMD,3,R3 低ボラ/下,300,682284,-0.6322837100884641,0.17730480162033985,-3.566083401634908,0.06423472097221614,0.08849140479796352,16.426480225184534
AMD,4,R4 高ボラ/上,300,633728,0.824859392671853,0.33944052194739155,2.43005575156314,0.1549923327657406,0.08849140479796352,16.903246986662804
AMD,5,R5 高ボラ/下,300,622781,-0.580348469759749,0.2958816039428379,-1.9614212645402176,0.12978081497460275,0.08849140479796352,16.831780752985917
AMD,6,R6 高ボラ/両建て,300,2236873,0.120584119003451,0.25797202801309094,0.467430984406309,0.14023808324485093,0.08849140479796352,16.29194090954722
