feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
d_ofi,fwd_mid_5s,1692166,96,-0.09183255660456638,0.0800655517815679,0.15997048824923685,0.02954632255630828,5.414226692488415,0.9878787878787878,0.16034242503395058,10,8 OFI,0.15997048824923685
ofi_vel,fwd_mid_5s,1692166,96,-0.09183255660456638,0.0800655517815679,0.15997048824923685,0.02954632255630828,5.414226692488415,0.9878787878787878,0.16034242503395058,10,8 OFI,0.15997048824923685
trade_dollar_imb,fwd_micro_3s,1692166,98,-0.09416694524821327,0.015900709083552927,0.1569091976328256,0.022453049085183627,6.988324705367844,1.0,0.6956226516783814,4,12 攻撃的な約定フロー,0.1569091976328256
signed_vol,fwd_micro_3s,1692166,98,-0.09348707134924913,0.0158566582829528,0.1549112561057927,0.022632932884324344,6.844506494033959,1.0,0.6956894299968206,4,12 攻撃的な約定フロー,0.1549112561057927
ofi_0.5s,fwd_micro_300ms,1692166,98,0.059472911531126715,-0.027106546738050574,-0.154109134364734,0.022477821299596103,-6.856053009350294,-0.309090909090909,0.2522607120105238,10,8 OFI,0.154109134364734
ofi_0.25s,fwd_micro_1s,1692166,98,0.03588254539607449,-0.016655165898532186,-0.15405399502107697,0.029888822052512386,-5.154234407445561,0.11666666666666665,0.3103743958926016,9,8 OFI,0.15405399502107697
ofi_ewma,fwd_mid_500ms,1692166,95,-0.059909344678743384,0.06041831580562481,0.15301595541856777,0.02032230891000804,7.529457213555723,0.9999999999999999,0.13354422674843958,10,8 OFI,0.15301595541856777
trade_imb,fwd_mid_5s,1692166,88,-0.13471876845667666,0.014615884185542216,0.15129998488935933,0.033148855501986874,4.564259688552165,1.0,0.6997227222388347,4,12 攻撃的な約定フロー,0.15129998488935933
size_wgt_imb,fwd_mid_5s,1692166,88,-0.1344581723603404,0.01463202445477101,0.15107434127082986,0.03312989642284132,4.560060778417407,1.0,0.6997262679902563,4,12 攻撃的な約定フロー,0.15107434127082986
trade_imb,fwd_micro_3s,1692166,88,-0.10211137989464611,0.01574272005558033,0.15079634014232568,0.02070519655730719,7.283019010467075,1.0,0.6997227222388347,4,12 攻撃的な約定フロー,0.15079634014232568
size_wgt_imb,fwd_micro_3s,1692166,88,-0.10177655615142,0.015727437199954817,0.15042576122965717,0.020703914559165454,7.265571001067762,1.0,0.6997262679902563,4,12 攻撃的な約定フロー,0.15042576122965717
obi_acc,fwd_mid_500ms,1692166,98,-0.07324876161545492,0.06259226040765273,0.14792742903698497,0.012059120398016267,12.26685066195368,0.9878787878787878,0.1676224436609647,10,2 板の偏り OBI,0.14792742903698497
aggr_mom,fwd_mid_5s,1692166,98,-0.07298200599875963,0.05569963785893399,0.1471504605500506,0.028215866058048808,5.215167248360067,0.9272727272727272,0.19096767102045545,10,12 攻撃的な約定フロー,0.1471504605500506
ofi_10s,fwd_mid_1s,1691970,96,-0.05856800791613782,0.04838716116831932,0.14601811396011405,0.02071347059065284,7.0494277297019545,0.9999999999999999,0.1520883940022577,10,8 OFI,0.14601811396011405
aggr_acc,fwd_micro_10s,1692166,98,-0.06723752945570473,0.023119858979858795,0.14541327618905514,0.029649213972904723,4.904456365080799,0.8285714285714287,0.4625627745741257,6,12 攻撃的な約定フロー,0.14541327618905514
aggr_acc,fwd_micro_5s,1692166,98,-0.07319607459957665,0.023286888953799358,0.14226374944995562,0.021224550066761688,6.702792238349736,0.8285714285714287,0.4625627745741257,6,12 攻撃的な約定フロー,0.14226374944995562
depth_diff,fwd_micro_100ms,1692166,98,0.07595169065777846,-0.08278583692875648,-0.1408900400167869,0.011355970450703324,-12.406693080824368,-0.9999999999999999,0.11082068780486075,10,2 板の偏り OBI,0.1408900400167869
signed_cnt,fwd_mid_3s,1692166,98,-0.12051793921526334,0.017364898989759046,0.1397633425308099,0.02921061558491523,4.78467638330038,1.0,0.7023371229536582,4,12 攻撃的な約定フロー,0.1397633425308099
ofi_per_event,fwd_micro_300ms,988233,98,0.058417574059157915,-0.06374860410945292,-0.13841665520994167,0.03086392961251684,-4.484738558819384,-0.709090909090909,0.1283715480053793,10,8 OFI,0.13841665520994167
ofi_2s,fwd_mid_300ms,1692166,96,-0.06481464673305422,0.06166342657479433,0.13423793593740918,0.023549364962044947,5.700278379215896,0.9878787878787878,0.16591752818576902,10,8 OFI,0.13423793593740918
micro_ret,fwd_mid_500ms,1692166,98,-0.07977512853404109,0.04199981140429882,0.13327805088681727,0.02136052882851045,6.239454648188653,0.9393939393939393,0.2008715456994172,10,4 マイクロプライス,0.13327805088681727
ofi_5s,fwd_mid_500ms,1692068,96,-0.055113149857000915,0.05411852819444165,0.13220375593581654,0.021901358265156847,6.036326803810209,0.9878787878787878,0.15235912504698393,10,8 OFI,0.13220375593581654
d_micro,fwd_mid_500ms,1692166,98,-0.07851502410573691,0.04182106846477718,0.1321006893354819,0.0212150476883503,6.226744868832966,0.9393939393939393,0.20083963393662324,10,4 マイクロプライス,0.1321006893354819
ofi_z,fwd_micro_500ms,1692166,98,0.06029718904199815,-0.0683379651141268,-0.1307015048221556,0.0196395466444346,-6.655016390574037,-0.6242424242424242,0.11223898837348109,10,8 OFI,0.1307015048221556
trade_dollar_imb,fwd_mid_3s,1692166,98,-0.09725860957314268,0.01640440563121733,0.12779735879781334,0.02824399976487061,4.5247613603497285,1.0,0.6956226516783814,4,12 攻撃的な約定フロー,0.12779735879781334
aggr_mom,fwd_micro_3s,1692166,98,-0.048602698274636674,0.05053968138338585,0.12717332386132066,0.021277885484123477,5.976783922265735,0.9393939393939393,0.19096767102045545,10,12 攻撃的な約定フロー,0.12717332386132066
aggr_imb,fwd_micro_5s,1692166,22,-0.0749548586142749,0.0389687127015081,0.12687587408141449,0.021334910973387834,5.946866815599723,0.8545454545454544,0.25394021626719837,10,12 攻撃的な約定フロー,0.12687587408141449
d_ofi,fwd_mid_500ms,1692166,96,-0.06566239499453062,0.06029818678356475,0.12666648311867929,0.018371318125640357,6.894795585837374,0.9878787878787878,0.16034242503395058,10,8 OFI,0.12666648311867929
ofi_vel,fwd_mid_500ms,1692166,96,-0.06566239499453062,0.06029818678356475,0.12666648311867929,0.018371318125640357,6.894795585837374,0.9878787878787878,0.16034242503395058,10,8 OFI,0.12666648311867929
signed_vol,fwd_mid_3s,1692166,98,-0.09657760236359555,0.01635715048356557,0.12613789895055835,0.028301708581274974,4.456900493774921,1.0,0.6956894299968206,4,12 攻撃的な約定フロー,0.12613789895055835
aggr_acc,fwd_micro_3s,1692166,98,-0.04754934845307363,0.022798035257685947,0.12585898163423825,0.017016617889150695,7.396239514462055,0.942857142857143,0.4625627745741257,6,12 攻撃的な約定フロー,0.12585898163423825
obi_acc,fwd_micro_100ms,1692166,98,0.053811742443270034,-0.0573656063862592,-0.12578448948330578,0.00779463563986223,-16.137314852799076,-0.8060606060606059,0.1676224436609647,10,2 板の偏り OBI,0.12578448948330578
obi_acc,fwd_mid_300ms,1692166,98,-0.0604936720550234,0.05190336114425632,0.12233485442184654,0.009618232964592627,12.719057114980988,0.9878787878787878,0.1676224436609647,10,2 板の偏り OBI,0.12233485442184654
obi1,fwd_mid_100ms,1692166,98,-0.062104604557116035,0.05819472343415701,0.12221207902562266,0.008648797776081747,14.130527986629563,0.9999999999999999,0.10336692735819063,10,2 板の偏り OBI,0.12221207902562266
depth_ratio,fwd_mid_100ms,1692166,98,-0.062104604557116035,0.05819472343415701,0.12221207902562266,0.008648797776081747,14.130527986629563,0.9999999999999999,0.10336692735819063,10,2 板の偏り OBI,0.12221207902562266
log_depth_ratio,fwd_mid_100ms,1692166,98,-0.062104604557116035,0.05819472343415701,0.12221207902562266,0.008648797776081747,14.130527986629563,0.9999999999999999,0.10336692735819063,10,2 板の偏り OBI,0.12221207902562266
aggr_acc,fwd_mid_5s,1692166,98,-0.07408302773295092,0.021112667273048398,0.11676287603044404,0.022693783046378112,5.14514815761752,0.8285714285714287,0.4625627745741257,6,12 攻撃的な約定フロー,0.11676287603044404
ofi_ewma,fwd_mid_300ms,1692166,95,-0.045974413589765756,0.04899256102724491,0.11668955321911846,0.014127091563420216,8.259984208021056,0.9999999999999999,0.13354422674843958,10,8 OFI,0.11668955321911846
ofi_norm,fwd_mid_300ms,1692166,98,-0.05821593851482922,0.041660373635379465,0.11636562738716195,0.011921055539412244,9.761352675729523,0.9757575757575757,0.20302263489515804,10,8 OFI,0.11636562738716195
delta1,fwd_mid_100ms,1692166,98,-0.055686359836557876,0.05091298507833563,0.11134173380960183,0.008182636682841858,13.607072894128848,0.9757575757575757,0.10217673679769006,10,4 マイクロプライス,0.11134173380960183
delta1_bp,fwd_mid_100ms,1692166,98,-0.05620496566726371,0.050677180112292,0.10970724763127232,0.007985239841815692,13.738754227114985,0.9757575757575757,0.10204790782937372,10,4 マイクロプライス,0.10970724763127232
obi_x_spread,fwd_mid_100ms,1692166,98,-0.05620496566726371,0.050677180112292,0.10970724763127232,0.007985239841815692,13.738754227114985,0.9757575757575757,0.10204790782937372,10,4 マイクロプライス,0.10970724763127232
ofi_z,fwd_micro_300ms,1692166,98,0.051574840399155615,-0.052483836368447855,-0.10930591416042906,0.015948556616732206,-6.85365558697345,-0.5878787878787878,0.11223898837348109,10,8 OFI,0.10930591416042906
aggr_imb,fwd_micro_3s,1692166,22,-0.06507100984974545,0.03336638705842706,0.10873778327096204,0.021029946102596543,5.170616355385538,0.5272727272727272,0.25394021626719837,10,12 攻撃的な約定フロー,0.10873778327096204
ofi_10s,fwd_mid_500ms,1691970,96,-0.03914614223069463,0.039491716847368775,0.1082795527355091,0.023305216987104603,4.6461508080110585,0.9999999999999999,0.1520883940022577,10,8 OFI,0.1082795527355091
micro_minus_ask,fwd_mid_100ms,1692166,98,-0.05264775965948569,0.05282319014162517,0.10729003204905632,0.007877682396511198,13.619491958265801,0.9878787878787878,0.10331728683828892,10,4 マイクロプライス,0.10729003204905632
qb1,fwd_micro_100ms,1692166,98,0.028386535038555476,-0.06135102901306676,-0.10441295603927815,0.008671160168535098,-12.04140553396301,-0.9878787878787878,0.12473658021730728,10,3 板の厚み,0.10441295603927815
cum_b1,fwd_micro_100ms,1692166,98,0.028386535038555476,-0.06135102901306676,-0.10441295603927815,0.008671160168535098,-12.04140553396301,-0.9878787878787878,0.12473658021730728,10,3 板の厚み,0.10441295603927815
