a,b,px,horizon,n,rank_corr,same_sign
AMD,KIOXIA,mid,1s,66,0.5687297776850017,0.7424242424242424
AMD,KIOXIA,mid,3s,66,0.7542636468009603,0.8636363636363636
AMD,KIOXIA,mid,5s,66,0.8107921928817452,0.803030303030303
AMD,KIOXIA,mid,10s,66,0.8163030998851896,0.8484848484848485
AMD,KIOXIA,mid,30s,66,0.8207702745016179,0.8484848484848485
AMD,KIOXIA,mid,60s,66,0.8313745955537002,0.9090909090909091
AMD,KIOXIA,micro,ALL,594,0.7799609025479473,0.7542087542087542
AMD,KIOXIA,micro,100ms,66,0.8088717252896359,0.7727272727272727
AMD,KIOXIA,micro,300ms,66,0.8800960233796057,0.7878787878787878
AMD,KIOXIA,micro,500ms,66,0.916918901993529,0.8484848484848485
AMD,KIOXIA,micro,1s,66,0.8418954180148212,0.7727272727272727
AMD,KIOXIA,micro,3s,66,0.7750965452457992,0.6818181818181818
AMD,KIOXIA,micro,5s,66,0.7425320947709009,0.7121212121212122
AMD,KIOXIA,micro,10s,66,0.7805657029537628,0.7121212121212122
AMD,KIOXIA,micro,30s,66,0.8234839787078594,0.696969696969697
AMD,KIOXIA,micro,60s,66,0.8718714121699198,0.803030303030303
AMD,SKHX,mid,ALL,630,0.9320151858233335,0.8984126984126984
AMD,SKHX,mid,100ms,70,0.6034642638439331,0.7285714285714285
AMD,SKHX,mid,300ms,70,0.6270142594698626,0.8428571428571429
AMD,SKHX,mid,500ms,70,0.8014871839734058,0.8285714285714286
AMD,SKHX,mid,1s,70,0.8098504067885574,0.9285714285714286
AMD,SKHX,mid,3s,70,0.8507567141982328,0.9142857142857143
AMD,SKHX,mid,5s,70,0.8766862041816114,0.9714285714285714
AMD,SKHX,mid,10s,70,0.8794156241798617,0.9714285714285714
AMD,SKHX,mid,30s,70,0.9261656897909193,0.9571428571428572
AMD,SKHX,mid,60s,70,0.9312046190184585,0.9428571428571428
AMD,SKHX,micro,ALL,630,0.8270399366325535,0.7555555555555555
AMD,SKHX,micro,100ms,70,0.6121074271717261,0.6285714285714286
