band,n,sz_pl,sz_fl,szt,n_fill,n_rf_fill,n_canc,n_rf_canc,dt
1,202089,1586869921,28687163,2.1056733732873068e+18,5186,487,196903,23665,2026-05-27
4,270523,2638433870,25215695,3.932782440300324e+18,4642,275,265881,33279,2026-05-27
2,124883,871543732,12158914,1.134937252351115e+18,2526,183,122357,15061,2026-05-27
3,157476,1237502556,13476820,4.1142004176072084e+18,2765,165,154711,20504,2026-05-27
0,526465,3218233138,172406547,5.010346668078473e+18,40252,4968,486213,72229,2026-05-27
8,1881418,72161028027,42570962,7.444534538448971e+20,7255,266,1874163,226679,2026-05-27
-1,1,6857,0,5026925848482.0,0,0,1,0,2026-05-27
0,470867,2787438949,121398151,5.89040813173845e+18,24692,3384,446175,69156,2026-05-28
6,699976,10722774176,28052684,2.577280127340794e+19,4648,268,695328,76113,2026-05-28
3,161308,1195290572,10720635,1.9181476212219146e+18,2296,159,159012,20430,2026-05-28
1,186559,1386709442,21174116,2.4650204288739174e+18,3677,439,182882,24762,2026-05-28
4,265286,2462375908,19635219,4.793171306349331e+18,3646,262,261640,31263,2026-05-28
7,850233,11058826783,15761998,4.15846550201968e+19,3689,138,846544,91695,2026-05-28
5,570539,7220840877,38779681,1.5806139901351959e+19,6230,394,564309,64500,2026-05-28
8,1704882,49507611792,18473730,1.0646990350120684e+21,7417,78,1697465,209188,2026-05-28
-1,44,796601,0,1.3988675219722342e+18,0,0,44,4,2026-05-28
2,120588,828842877,9758061,1.4480006392797768e+18,2017,156,118571,15097,2026-05-28
7,506274,8335541361,4638482,3.7343249767474455e+19,1166,54,505108,37526,2026-05-29
8,934072,15374219395,4409299,6.530140102141503e+20,2370,27,931702,87733,2026-05-29
6,454939,8964813479,11452586,2.258053799330686e+19,1855,107,453084,49284,2026-05-29
1,144285,1154738142,13464115,3.153921909495883e+18,2311,192,141974,16946,2026-05-29
-1,11,180698,100,244994689583893.0,1,0,10,1,2026-05-29
0,325916,2175428604,86944633,9.052496661917894e+18,15032,1927,310884,38365,2026-05-29
5,412100,7013068767,15832061,1.867514562361727e+19,2745,193,409355,49194,2026-05-29
4,189976,2382735428,9512452,4.9461609765206e+18,1847,92,188129,21376,2026-05-29
2,85604,706946498,6673001,1.2333450052551506e+18,1232,74,84372,8896,2026-05-29
3,112229,1082214005,6020876,2.1866099901590264e+18,1284,85,110945,12511,2026-05-29
1,36322,75367927,1433367,7.238411505993549e+17,782,36,35540,2502,2026-05-30
6,60062,286445197,1260741,5.336075034142128e+18,521,31,59541,5015,2026-05-30
-1,4,97487,0,288301073592064.0,0,0,4,0,2026-05-30
5,72963,240991043,2413752,4.553491142161433e+18,1155,49,71808,5534,2026-05-30
7,79114,513683420,1717630,1.268600139038254e+19,398,19,78716,4662,2026-05-30
4,41184,113683985,1280984,1.703827270627535e+18,891,24,40293,2936,2026-05-30
2,17379,43100255,476632,3.8752606242530886e+17,402,10,16977,1206,2026-05-30
3,23473,57637981,564777,6.03760405282132e+17,516,13,22957,1719,2026-05-30
8,171353,1631972077,2060030,3.6315218838870104e+20,385,26,170968,18834,2026-05-30
0,83144,224232268,10097790,4.0601944360643994e+18,5280,466,77864,5651,2026-05-30
2,20355,255391203,1299809,4.5627903922970285e+17,535,32,19820,1480,2026-05-31
4,39885,233354165,1722866,1.8082076782408737e+18,691,23,39194,3337,2026-05-31
7,89685,280447578,1017446,7.868129853471102e+18,637,29,89048,6662,2026-05-31
0,70108,210706564,12224602,1.9288684499157443e+18,5964,797,64144,3319,2026-05-31
8,178740,1296529240,2271609,3.102873227338005e+20,585,27,178155,23106,2026-05-31
6,75685,361320421,1709298,5.423466496008932e+18,980,45,74705,7858,2026-05-31
1,46421,431529924,5390521,1.6410044724513032e+18,1312,130,45109,6017,2026-05-31
3,22030,159744331,953622,7.056909247842436e+17,393,14,21637,1769,2026-05-31
5,84224,438931380,2647227,4.654199837455963e+18,1435,39,82789,7591,2026-05-31
-1,7,21855,0,9261889522564.0,0,0,7,1,2026-05-31
5,446499,5952077183,6075020,7.982014446253357e+19,1849,202,444650,80387,2026-06-01
-1,12,31268,2262,2697885949314.0,1,0,11,0,2026-06-01
4,507601,7035714780,6744841,2.2502612008015897e+19,1988,208,505613,104572,2026-06-01
6,165942,3014616917,2451994,9.12211117356446e+19,874,18,165068,9460,2026-06-01
1,416833,3620364712,44367409,8.394146931316713e+18,8355,1411,408478,105276,2026-06-01
7,69788,2890110760,1384912,1.6608708050614878e+20,336,3,69452,2383,2026-06-01
8,367816,2978554197,491819,2.7638395069075738e+20,236,10,367580,59606,2026-06-01
3,508151,8656977998,15286659,1.9496530044676854e+19,3440,391,504711,120712,2026-06-01
0,179695,1057550963,49524120,1.8934026243283766e+18,13242,2804,166453,34847,2026-06-01
2,589056,7701354851,27299428,1.5271055824152728e+19,5739,850,583317,159809,2026-06-01
8,299018,2394404082,903179,2.4392520675278045e+20,217,0,298801,52982,2026-06-02
5,496738,7148694394,8584227,8.983243154249653e+19,2248,277,494490,92905,2026-06-02
3,568610,9861108761,21096324,2.198299159711484e+19,4777,477,563833,149433,2026-06-02
1,393954,3266079302,33120528,7.297153506813063e+18,8092,1346,385862,96709,2026-06-02
0,182156,1003152095,48961705,2.7444574217672433e+18,13243,2619,168913,35631,2026-06-02
7,52510,2947128922,847484,1.7600567007915285e+20,257,2,52253,1786,2026-06-02
2,568381,7679417192,29087133,1.890845195351401e+19,6800,964,561581,151916,2026-06-02
6,163200,3554694239,2495197,1.0605831062044344e+20,920,15,162280,7366,2026-06-02
4,507019,7963260319,11157416,3.1770629019709006e+19,2671,225,504348,99385,2026-06-02
4,520425,6586395102,7591813,2.6869033043702153e+19,2089,187,518336,103751,2026-06-03
7,96592,3606583598,1601228,1.779657037706776e+20,298,2,96294,3304,2026-06-03
6,196278,2985109619,747373,8.798498425527529e+19,819,5,195459,16684,2026-06-03
8,264857,1529166474,1101448,2.1652511033936177e+20,315,0,264542,49968,2026-06-03
2,456244,6412771344,25821146,1.2260765676692513e+19,6763,720,449481,94836,2026-06-03
1,307056,3094733331,27406878,5.471592404724299e+18,6285,812,300771,66837,2026-06-03
5,520390,7230847289,5775842,9.020089671164928e+19,2479,133,517911,71913,2026-06-03
-1,3,47169,0,3562114805195.0,0,0,3,0,2026-06-03
0,158721,1184243201,44522706,3.0599003601836365e+18,11246,1959,147475,31299,2026-06-03
3,523520,8127554638,18261294,2.0547903289265607e+19,3646,323,519874,116216,2026-06-03
-1,2,119404,0,74742497346704.0,0,0,2,0,2026-06-04
4,649187,7862391366,13533612,2.011487471041118e+19,3222,304,645965,150142,2026-06-04
7,295580,7250608302,6493078,1.9615323044050472e+20,1434,60,294146,22990,2026-06-04
5,956713,11188841839,17950082,8.122337413443022e+19,5057,327,951656,206825,2026-06-04
6,478568,7142505059,7849945,8.583045362625577e+19,2538,105,476030,70146,2026-06-04
8,830155,18149483382,6080850,3.4802126601892685e+20,2151,32,828004,105302,2026-06-04
1,310431,3208804343,31925908,4.2354805528928143e+18,6501,1115,303930,68309,2026-06-04
3,611527,8104345917,17656721,1.4059118106474107e+19,4133,498,607394,146151,2026-06-04
2,520901,6777393133,25710003,8.661364284522532e+18,6324,1000,514577,113132,2026-06-04
0,336341,2494718991,84708456,3.173198962109105e+18,17088,3495,319253,54218,2026-06-04
0,804111,4399868999,143321857,4.903602687685396e+18,41235,4783,762876,107660,2026-06-05
7,1206485,17473648431,33183549,3.615433697548242e+19,4757,229,1201728,111504,2026-06-05
4,336492,2588570442,17550853,2.647672108792768e+18,4846,319,331646,39271,2026-06-05
6,1024760,13712993138,38225463,2.0491001498405745e+19,6759,423,1018001,95108,2026-06-05
1,168601,1228751734,19423461,1.5457179284939625e+18,5032,476,163569,23695,2026-06-05
2,179713,1102324312,9060959,8.463797581600076e+17,2545,230,177168,25128,2026-06-05
3,247488,1573766655,9838121,1.1961354875597115e+18,2871,225,244617,33384,2026-06-05
5,788412,7908609110,39432569,9.852774985312698e+18,9344,525,779068,76384,2026-06-05
8,2787246,68642271317,45390089,8.95455816450155e+20,8427,179,2778819,262022,2026-06-05
