feat,target,direction,day_type,n,pearson,spearman,partial_sp,beta,t,n_sub
median_gap,|OBI|,同時点,立会日,39150379,0.015565957313048608,0.014703400223811223,NaN,0.003870962124027603,97.40840459641679,385979
median_gap,|OBI|,同時点,閉場日,16402345,-0.032321770542112355,-0.034758130226939396,NaN,-0.009029554151570618,-130.97097456962183,162018
median_gap,|OFI|,同時点,立会日,39150313,-0.055547802984295847,-0.17943413108859146,NaN,-0.9837985734675513,-348.10122449170336,385979
median_gap,|OFI|,同時点,閉場日,16402314,-0.025814416800504076,-0.05322461841364921,NaN,-0.1007730864812852,-104.58264080331048,162018
median_gap,回復力 10s,前向き,立会日,19477233,-0.014281048087148454,-0.0013032084463751774,-0.0658186178108229,-0.013583212641044555,-63.03300041785443,190049
median_gap,回復力 10s,前向き,閉場日,7257024,-0.014093586802734082,-0.005828425722814909,-0.10827091303931556,-0.012298980115883828,-37.970287941576814,70729
median_gap,回復力 1s,前向き,立会日,19478762,-0.061682558280665434,-0.07251774343371063,-0.11713209777213736,-0.051898953954149334,-272.7537907431252,190067
median_gap,回復力 1s,前向き,閉場日,7257775,-0.03956233420037488,-0.018175692737217627,-0.10807359225665211,-0.023602089788638814,-106.66544218361709,70740
median_gap,回復力 2s,前向き,立会日,19478565,-0.04660354584743385,-0.048908524860283444,-0.09766032281522492,-0.041452665237390905,-205.90626055529793,190067
median_gap,回復力 2s,前向き,閉場日,7257670,-0.028675833104111842,-0.012260673198739691,-0.10688122825937468,-0.019615938293689406,-77.28464694076068,70740
median_gap,回復力 30s,前向き,立会日,19473077,-0.0054176663784362925,0.016110996701232554,-0.05349201039762834,-0.005250282281259547,-23.907595507752024,190008
median_gap,回復力 30s,前向き,閉場日,7255088,-0.013468126504138095,-0.007182417228218396,-0.10952857136631511,-0.012874319565469758,-36.280048704905546,70712
median_gap,回復力 5s,前向き,立会日,19477981,-0.027216023855209964,-0.01798007631734545,-0.07750939416364132,-0.025360283365403722,-120.15933792737782,190067
median_gap,回復力 5s,前向き,閉場日,7257414,-0.02024859460519128,-0.009655992609004594,-0.10908587850386085,-0.016153778942625173,-54.56005815844308,70740
void_asym,OBI,同時点,立会日,39042380,-0.0484062235517264,-0.053133621711099935,NaN,-0.09632594690485705,-302.81594630683173,384950
void_asym,OBI,同時点,閉場日,16363575,-0.022986459310696268,-0.02320263376457446,NaN,-0.04590098532656119,-93.00920142821997,161657
void_asym,OFI,同時点,立会日,39042315,-0.039074908445903105,-0.07246346600936844,NaN,-2.5108006252217394,-244.3416728300177,384950
void_asym,OFI,同時点,閉場日,16363544,-0.011821449564906687,-0.02180599462474883,NaN,-0.16289434487791513,-47.82332183485299,161657
void_asym,回復力 10s,前向き,立会日,19447731,-0.012742995658016896,-0.011097086017188252,-0.00972011987194236,-0.03888737179938435,-56.20063806013034,189774
void_asym,回復力 10s,前向き,閉場日,7243534,-0.014170721478091867,-0.016182279833569235,-0.02359213195331657,-0.04264916439866171,-38.142641257737004,70619
void_asym,回復力 1s,前向き,立会日,19449260,-0.013627747301890486,-0.015146096785621638,-0.014390358089940575,-0.036787957251276614,-60.10573633843908,189792
void_asym,回復力 1s,前向き,閉場日,7244285,-0.011567983331036785,-0.013354177172365415,-0.019655142342357455,-0.023801838330109057,-31.137548590257282,70630
void_asym,回復力 2s,前向き,立会日,19449063,-0.014143169165706114,-0.014311132290776955,-0.013402859420431531,-0.04036230424832983,-62.37915613725365,189792
void_asym,回復力 2s,前向き,閉場日,7244180,-0.012690197500515763,-0.015569876816037189,-0.022326520723797788,-0.02994153104553347,-34.15843069460508,70630
void_asym,回復力 30s,前向き,立会日,19443575,-0.012121168197155115,-0.006537573068412747,-0.004978544527615179,-0.037688238968174435,-53.45205681725106,189733
void_asym,回復力 30s,前向き,閉場日,7241598,-0.013864883305286072,-0.012048887055856146,-0.01934103049932878,-0.04570267872350888,-37.31428395940538,70602
