feature,horizon_s,target,rho_pooled,rho_partial,rho_day_med,pos_days,n_days,z,p,placebo_pos,placebo_z,backward_rho_med,backward_z,n_obs
h_dir,10,dir,0.0011152500551755303,0.0011430505354740254,0.0009474158107566021,51,98,0.40406101782088427,0.6861678498552393,52,0.6060915267313265,-0.0022736918950603084,-1.616244071283537,744356
h_dir,10,vol,0.08217421798762446,-0.016215375994555265,0.0379565296866241,88,98,7.879189847507244,3.2951052275961224e-15,47,-0.40406101782088427,0.08738852185578964,8.081220356417687,744356
h_dir,30,dir,-0.0016632132261114837,-0.0014437366887235764,-0.0030971403093450036,45,98,-0.8081220356417685,0.4190203335343159,51,0.40406101782088427,-0.004624347317056569,-1.616244071283537,254350
h_dir,30,vol,0.08802493039716931,-0.0021775046107766084,0.048714651904689835,83,98,6.869037302955033,6.4636604565822415e-12,43,-1.212183053462653,0.07408360814743614,8.687311883149013,254350
h_dir,60,dir,-0.003110973701505826,-0.002742721732467501,-0.006833636919905116,38,98,-2.2223355980148636,0.026260634117795476,43,-1.212183053462653,0.00004844669051738554,0.0,131648
h_dir,60,vol,0.09620473207680037,0.004265995787078056,0.0415560192238786,84,98,7.0710678118654755,1.5374597944280182e-12,38,-2.2223355980148636,0.06475854302170753,8.889342392059454,131648
h_chg,1,dir,-0.001985486718227169,-0.0019225031487596822,0.0009816042803361975,54,98,1.0101525445522108,0.31242221124269354,51,0.40406101782088427,-0.008746058371823682,-3.6365491603879585,937978
h_chg,1,vol,-0.038362607923535026,-0.03762264700564008,-0.05262615870633494,0,98,-9.899494936611665,4.1838256077793554e-23,37,-2.424366106925306,-0.04637825836877306,-6.667006794044591,937978
h_chg,2,dir,-0.0002629710760677798,-0.0001203296690416396,0.0003066415160481743,52,98,0.6060915267313265,0.5444539772747026,44,-1.0101525445522108,-0.006421057131921851,-3.232488142567074,844158
h_chg,2,vol,-0.030097407611558467,-0.011020387540080383,-0.03257354116776837,0,98,-9.899494936611665,4.1838256077793554e-23,29,-4.040610178208843,0.022299599716319743,8.48528137423857,844158
h_chg,5,dir,-0.00005413097563004846,0.000043167377603389456,-0.000806321171589536,46,98,-0.6060915267313265,0.5444539772747026,47,-0.40406101782088427,-0.00408319257168258,-2.626396615835748,844194
h_chg,5,vol,0.0016655716794917546,0.010936661246029137,-0.018039983466582372,5,98,-8.889342392059454,6.147163181595229e-19,30,-3.838579669298401,0.031310191098623874,9.899494936611665,844194
h_chg,10,dir,-0.0016627381536357439,-0.0015331571249340573,-0.0011831338699115114,43,98,-1.212183053462653,0.22544231699451311,44,-1.0101525445522108,-0.0008066504834946978,-0.40406101782088427,844102
h_chg,10,vol,-0.015923695979620556,0.018578389771182258,-0.020502000457087558,13,98,-7.273098320775917,3.5133440768553106e-13,25,-4.848732213850612,0.017316055682944278,7.879189847507244,844102
h_chg,30,dir,-0.0010132494733795636,-0.000936641750330192,-0.001733108799238514,48,98,-0.20203050891044214,0.8398928732712689,52,0.6060915267313265,-0.0018649579529901737,-1.0101525445522108,281302
h_chg,30,vol,-0.02307735636627806,0.035482096308263315,-0.024524979023672264,22,98,-5.454823740581938,4.9021446491897744e-8,43,-1.212183053462653,-0.00037139800090754227,-0.20203050891044214,281302
h_chg,60,dir,0.000942334890229503,0.0008709220495706813,0.0024981039890682767,52,98,0.6060915267313265,0.5444539772747026,53,0.8081220356417685,-0.004836606298784659,-1.616244071283537,140602
h_chg,60,vol,-0.05204736956929712,0.036964426321266945,-0.04413065358225887,15,98,-6.869037302955033,6.4636604565822415e-12,33,-3.232488142567074,-0.035740611916748086,-6.464976285134148,140602
h_rate,1,dir,-0.0011000226146804769,-0.0011700991607089869,-0.002084811342211544,41,98,-1.616244071283537,0.10604155370017078,49,0.0,-0.0022237317715160616,-2.2223355980148636,933993
h_rate,1,vol,-0.13128014604495947,0.0139975547265391,-0.1379431275031734,26,98,-4.6467017049401695,3.3728433210803407e-6,44,-1.0101525445522108,-0.19947904929371185,-4.848732213850612,933993
h_rate,2,dir,-0.0011068167666319695,-0.0008756894429672883,-0.0019519862309078059,41,98,-1.616244071283537,0.10604155370017078,52,0.6060915267313265,-0.003424950464141768,-1.616244071283537,840566
h_rate,2,vol,-0.12455011248389501,0.02268640510737413,-0.1373800512108044,26,98,-4.6467017049401695,3.3728433210803407e-6,46,-0.6060915267313265,-0.2417061971727172,-4.6467017049401695,840566
h_rate,5,dir,-0.0008087212727724806,-0.0021095552133161065,-0.0028822863536933866,33,98,-3.232488142567074,0.0012271722863991057,42,-1.4142135623730951,-0.0022453086201097722,-0.8081220356417685,840504
h_rate,5,vol,-0.10808883616622952,0.030536967637736587,-0.12805149816113903,26,98,-4.6467017049401695,3.3728433210803407e-6,40,-1.8182745801939793,-0.2947440394816857,-4.444671196029727,840504
h_rate,10,dir,-0.0014134306942955007,-0.0020289055762810725,-0.004618047790765081,33,98,-3.232488142567074,0.0012271722863991057,51,0.40406101782088427,-0.0030273842280072734,-0.6060915267313265,840607
h_rate,10,vol,-0.09513950713590039,0.0380960268574922,-0.11474933004127236,27,98,-4.444671196029727,8.80263895290031e-6,39,-2.0203050891044216,-0.3391006231717441,-4.444671196029727,840607
h_rate,30,dir,-0.0008993495244104729,-0.0021252533963384244,-0.005308761648813068,37,98,-2.424366106925306,0.015335137038007587,53,0.8081220356417685,0.0019197956491917752,0.40406101782088427,280135
h_rate,30,vol,-0.07738910503638231,0.036495431542541354,-0.11134804818636962,29,98,-4.040610178208843,0.000053312311388322605,40,-1.8182745801939793,-0.20469830528011299,-4.6467017049401695,280135
