feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,1,1,6,3.0,834960.0,102245.0,-15940.990575362783,-142632.65108067618,-167571.20165603887,153197.911
obi,1,1,6,5.0,834960.0,155372.0,-48235.825894718524,-212853.666621318,-274762.22851603647,360783.857
obi,1,1,6,10.0,834960.0,244364.0,-112450.96310646163,-345736.99875560927,-479691.9938620712,1004586.2450000002
obi,1,1,6,30.0,834960.0,407770.0,-227171.20405983078,-625635.5301911877,-888690.4942510187,3985075.451999999
obi,1,1,6,60.0,834960.0,505144.0,-283941.7529183785,-838356.9516766343,-1166751.3765950124,8184315.936999997
obi,1,1,7,0.1,842225.0,2210.0,3712.5262504065886,-2291.150249608542,1226.8960007980465,109.67800000000005
obi,1,1,7,0.5,842225.0,12439.0,11256.368436618635,-16011.36797365992,-5849.63153704129,3396.738
obi,1,1,7,1.0,842225.0,30271.0,12496.49328600826,-41846.18834351582,-32013.543057507577,16772.789999999997
obi,1,1,7,3.0,842225.0,100554.0,-17228.556540691647,-135535.30808988502,-161612.61663057675,152022.62699999995
obi,1,1,7,5.0,842225.0,153496.0,-53008.256506303835,-209660.36971227988,-276176.27421858377,359332.19600000005
obi,1,1,7,10.0,842225.0,243853.0,-121895.9403563644,-343155.61452545045,-486510.61888181505,1014334.2590000003
