k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
2,1,10.0,8465276.0,1524149.0,1990801.2326018256,-4393834.897819712,-2537158.7772178827,6317723.716
2,1,30.0,8465276.0,2746840.0,3763576.8283174457,-9060667.354530845,-5538812.446213398,29046271.787
2,1,60.0,8465276.0,3592944.0,5329655.614792649,-12777082.022466034,-7763605.479673385,65760001.86799999
2,-1,0.1,8465276.0,29166.0,116390.5224351051,59998.29296256016,53825.621472545,1384.8280000000007
2,-1,0.5,8465276.0,112323.0,303569.8884416409,228552.48983128776,65132.97461035313,26898.527000000002
2,-1,1.0,8465276.0,229678.0,477238.45978745766,512480.3931757645,-55453.59738830622,114429.17199999999
2,-1,3.0,8465276.0,648516.0,978880.9486733323,1550675.5679657233,-628864.0272923908,916283.4819999998
2,-1,5.0,8465276.0,971903.0,1328572.4078427143,2433166.729502555,-1190121.7856598413,2183215.965000001
2,-1,10.0,8465276.0,1562878.0,1984303.8755698015,4191725.040607155,-2344954.4290373507,6489588.848999998
2,-1,30.0,8465276.0,2818205.0,3788435.8081520717,8519305.683424842,-4978871.915272763,29783955.288000003
2,-1,60.0,8465276.0,3683309.0,5354537.629016647,11942959.468488393,-6912553.031471752,67275044.95199999
3,1,0.1,8465276.0,20455.0,104735.39779424321,-53029.50936804435,49905.84842619891,965.6329999999998
3,1,0.5,8465276.0,83487.0,280680.2903441937,-204482.17053706103,68851.26380713264,20562.523999999998
3,1,1.0,8465276.0,177706.0,455143.398198175,-467540.2812593633,-28035.011061188154,90949.34000000001
3,1,3.0,8465276.0,533317.0,982030.9313677798,-1469169.5806061423,-534070.5452383625,780371.2799999997
3,1,5.0,8465276.0,818458.0,1351147.5066278162,-2348019.2964668535,-1068896.0938390368,1903276.401
3,1,10.0,8465276.0,1354993.0,2041764.3298192113,-4173314.867715345,-2250789.9218961317,5827969.148999999
3,1,30.0,8465276.0,2536264.0,3862484.344355978,-8819056.475385258,-5179763.363029276,27858237.308999993
3,1,60.0,8465276.0,3380376.0,5434575.487911648,-12572254.377551928,-7435151.977640289,64522956.16999997
