feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,1,1,8,10.0,836469.0,156470.0,196082.09018427538,-391331.5689768298,-209018.83879255454,652652.1590000005
obi,1,1,8,30.0,836469.0,280616.0,397441.4152662517,-768633.4664182719,-395886.25915202,2956776.183999997
obi,1,1,8,60.0,836469.0,365524.0,562424.9439693138,-1055105.393689781,-524846.5617204673,6646727.948999998
obi,1,1,9,0.1,878866.0,1876.0,5883.261966101871,-2666.4567298132793,3051.7172362885894,94.71599999999998
obi,1,1,9,0.5,878866.0,9823.0,19892.42726837574,-13338.170595220527,5689.83267315522,2641.3599999999997
obi,1,1,9,1.0,878866.0,22843.0,35220.61461366262,-39826.74138553897,-6616.310771876334,12361.98
obi,1,1,9,3.0,878866.0,70087.0,71448.93637086451,-144303.66404373263,-79022.3836728681,103797.331
obi,1,1,9,5.0,878866.0,105540.0,92557.59909406836,-235867.16266562595,-152597.08357155733,243339.70799999998
obi,1,1,9,10.0,878866.0,167966.0,135281.55241127004,-411701.60738972155,-291201.06297845166,698064.8110000003
obi,1,1,9,30.0,878866.0,297121.0,254349.2168042325,-820249.0636062531,-592046.4948020203,3097165.4329999974
obi,1,1,9,60.0,878866.0,386110.0,371882.5413599365,-1210352.1643175741,-872447.3029576384,6951125.336999982
obi,1,-1,0,0.1,893020.0,1645.0,4757.964287996117,2052.646200840881,2560.558087155232,81.07199999999997
