luid,usd,n,pnl,days,long_share
L438,12473.16398,2,-1167.663374,2,1.0
L439,12424.851999999999,6,-678.7578100000001,2,1.0
L440,12376.198,6,-667.483825,1,1.0
L441,12305.00716,3,-687.039065,1,1.0
L442,12258.197820000001,1,-1048.854015,1,1.0
L443,12256.21751,7,-739.2770660000001,2,0.5714285714285714
L444,12186.72952,2,-666.091624,1,1.0
L445,12164.06407,3,-3366.06833,1,1.0
L446,12116.61169,7,-577.48359,2,0.2857142857142857
L447,12099.47136,3,-555.834885,1,0.0
L448,11985.47524,2,-1014.9553,1,1.0
L449,11952.28882,12,-656.949045,6,0.9166666666666666
L450,11923.4185,2,1288.305095,1,1.0
L451,11903.71298,1,-667.84752,1,1.0
L452,11819.6231,1,144.7673,1,1.0
L453,11793.54966,3,-662.13396,1,1.0
L454,11591.49455,3,-652.67633,2,1.0
L455,11398.0443,2,-519.73574,1,0.0
L456,11382.52255,6,-632.70425,3,1.0
L457,11366.34325,8,-1234.71515,1,1.0
L458,11344.879920000001,13,-504.270858,1,0.0
L459,11337.43657,2,-227.578942,1,1.0
L460,11203.120200000001,3,-1086.392364,1,1.0
L461,11144.61313,5,-594.82687,1,1.0
L462,11083.37693,11,-616.483714,2,1.0
L463,10976.203010000001,4,-504.06473,1,0.0
L464,10954.16949,5,-619.36551,1,1.0
L465,10936.25197,9,-2019.540892,1,1.0
L466,10926.52453,5,-606.5218619999999,1,1.0
L467,10899.406900000002,3,-611.91622,1,1.0
L468,10840.7267,3,-609.2733000000001,1,1.0
L469,10724.72076,2,-591.952775,1,1.0
L470,10721.68893,5,-605.2432739999999,1,1.0
L471,10676.45,2,-562.375,2,0.5
L472,10595.1864,2,-1014.8376000000001,2,1.0
L473,10555.04995,5,-653.654545,4,1.0
L474,10534.0092,1,-589.1197,1,1.0
L475,10527.974390000001,5,-527.794202,1,0.0
L476,10522.41788,6,-485.87928,1,0.0
L477,10502.51166,8,-594.849653,1,0.0
L478,10494.12,1,-1439.274324,1,1.0
L479,10485.25204,1,-495.845324,1,0.0
L480,10473.29955,1,-464.50323,1,0.0
L481,10428.164760000001,2,-512.092187,1,0.0
L482,10413.769199999999,2,-584.3652159999999,2,1.0
L483,10311.0,1,-871.67,1,1.0
L484,10309.219299999999,5,-618.0208,1,0.0
L485,10306.251320000001,3,-991.236082,1,1.0
L486,10302.88386,3,-536.690955,1,0.0
L487,10298.184220000001,3,-1292.5489740000003,3,1.0
L488,10257.0576,4,-577.85896,1,1.0
L489,10206.46175,4,321.413071,1,1.0
L490,10154.094169999998,5,-998.5539870000001,1,1.0
L491,10097.11673,1,-826.879347,1,1.0
L492,10055.087490000002,5,-2252.1878699999997,1,1.0
L493,9946.49777,2,-545.469546,1,1.0
L494,9946.38339,16,-499.148069,7,1.0
L495,9907.58777,2,-546.7277409999999,1,1.0
L496,9903.990300000001,2,-544.991799,1,1.0
L497,9846.161900000001,18,-514.001353,10,0.5555555555555556
L498,9816.26178,5,-527.50149,1,1.0
L499,9807.4584,1,-3847.637052,1,1.0
L500,9791.85,2,-825.26,2,1.0
L501,9781.250759999999,10,-729.64396,6,1.0
L502,9714.23129,3,-1104.7975700000002,1,1.0
L503,9679.28804,8,-508.93935999999997,4,1.0
L504,9644.34368,18,-479.219625,1,0.0
L505,9600.41595,2,-523.70771,1,1.0
L506,9579.739399999999,5,-529.942,2,0.8
L507,9572.2026,4,-531.2406289999999,3,1.0
L508,9534.4548,4,-588.7977000000001,2,1.0
L509,9491.27147,6,-514.6910379999999,1,1.0
L510,9483.638780000001,1,-527.171106,1,1.0
L511,9481.485999999999,1,-519.629306,1,1.0
L512,9481.25074,2,-530.943784,1,1.0
L513,9480.3839,1,-521.447862,1,1.0
L514,9459.475789999999,3,-1832.8983449999998,3,1.0
L515,9402.513429999999,5,-507.521617,5,0.8
L516,9401.33208,1,-524.26612,1,1.0
L517,9378.6352,3,-650.5488,1,1.0
L518,9369.06565,15,-1364.396866,1,0.0
L519,9349.32753,8,-520.261013,7,1.0
L520,9316.56086,4,-428.352389,1,0.0
L521,9312.22727,1,-919.559577,1,1.0
L522,9293.16728,3,-1187.90728,1,0.0
L523,9271.714,1,-514.418,1,1.0
L524,9269.9877,6,-427.075644,1,0.0
L525,9249.4204,1,-1823.354456,1,1.0
L526,9245.1284,1,-415.7398,1,0.0
L527,9156.78463,4,-1631.170308,1,1.0
L528,9133.9328,2,-510.88120000000004,1,1.0
L529,9038.115600000001,5,-968.3549840000001,2,1.0
L530,8995.380000000001,1,-1003.16125,1,1.0
L531,8985.51682,3,-510.99588000000006,2,1.0
L532,8957.19124,1,-2204.701038,1,1.0
L533,8901.59943,2,-422.191894,1,0.0
L534,8901.45245,1,-4820.233176,1,1.0
L535,8899.44,1,-1648.000996,1,1.0
L536,8889.93404,1,-502.94676,1,1.0
L537,8881.22244,1,-501.98323,1,1.0
L538,8856.246,1,-1899.442506,1,1.0
L539,8830.08712,5,-378.960969,1,0.0
L540,8829.4757,2,-496.62719,2,1.0
L541,8783.70255,2,-1682.3305169999999,1,1.0
L542,8775.2884,1,-954.3116,1,1.0
L543,8698.88789,6,-413.072095,1,0.0
L544,8612.84532,5,-836.050193,3,1.0
L545,8606.36739,4,-143.70768800000002,2,1.0
L546,8545.06098,1,-2854.84908,1,1.0
L547,8521.6079,4,-399.407066,1,0.0
L548,8519.92914,8,-397.977402,2,0.25
L549,8514.548200000001,6,-399.1042,1,0.0
L550,8471.8811,3,-392.380264,1,0.0
L551,8431.01125,3,-461.34884999999997,1,1.0
L552,8426.418,1,-1574.763678,1,1.0
L553,8416.967,3,-477.242144,1,1.0
L554,8394.0784,3,-385.3124,1,0.0
L555,8375.97663,1,-836.962358,1,1.0
L556,8371.7119,9,-266.9306,3,1.0
L557,8334.16161,7,-387.289107,1,0.0
L558,8330.425299999999,4,-463.7194,1,1.0
