k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
8,-1,30.0,8467190.0,3752208.0,-765441.5733001399,5838509.917643941,-6934145.79494408,37208810.28
8,-1,60.0,8467190.0,4701680.0,-706860.1129134231,7833183.321147004,-8953791.274060423,78085483.77600004
9,1,0.1,8467190.0,23949.0,44243.44387311986,-34627.56752690294,7508.364346216921,1173.3090000000002
9,1,0.5,8467190.0,114965.0,126291.40185163466,-182670.6117323175,-66496.12988068287,29683.54900000001
9,1,1.0,8467190.0,260019.0,152335.25063381295,-412102.0953776919,-282648.5167438788,138709.78100000002
9,1,3.0,8467190.0,823854.0,11818.6151558748,-1231433.550407287,-1292114.0872514122,1228948.9500000002
9,1,5.0,8467190.0,1258033.0,-164387.14724992312,-1880838.238987567,-2155932.290237491,2933569.906000001
9,1,10.0,8467190.0,2010672.0,-474307.35119136854,-3091977.43757764,-3743223.9247690067,8402643.921
9,1,30.0,8467190.0,3450403.0,-872899.0300920412,-5674631.993774893,-6851166.487866934,34840589.23900001
9,1,60.0,8467190.0,4386967.0,-941635.4694125744,-7662228.452217836,-8989917.017630406,75332793.991
9,-1,0.1,8467190.0,27991.0,51170.104776615924,38650.456409088336,10056.44036752758,1328.6990000000005
9,-1,0.5,8467190.0,117567.0,128678.62267559802,185290.19005782288,-66957.46338222479,29416.496000000006
9,-1,1.0,8467190.0,260828.0,150876.26405550263,414518.88857244456,-286595.48851694196,137333.317
9,-1,3.0,8467190.0,855002.0,11718.648018812879,1229826.935324147,-1293348.4633053343,1265510.4529999997
9,-1,5.0,8467190.0,1316011.0,-162121.34197500395,1881308.010106186,-2159238.32008119,3053856.3020000006
9,-1,10.0,8467190.0,2114235.0,-448501.98456367553,3097929.481870724,-3732484.146434399,8812646.850999998
9,-1,30.0,8467190.0,3617029.0,-715896.6154357733,5743265.7393841185,-6777460.906819895,36268916.091999985
9,-1,60.0,8467190.0,4559142.0,-651417.3988498477,7755921.87452654,-8808543.769376386,76858034.97899997
10,1,0.1,8467190.0,21447.0,42081.08408347349,-32748.349322005713,7445.398761467775,1053.5980000000004
10,1,0.5,8467190.0,104912.0,122553.04748448309,-173641.72744693444,-60320.93596245125,27267.516
10,1,1.0,8467190.0,240844.0,151746.0971501082,-393696.05264478066,-263144.22749467246,129521.51999999999
10,1,3.0,8467190.0,778167.0,26354.665154499657,-1185736.5943698622,-1227860.6252153628,1170482.939
10,1,5.0,8467190.0,1196455.0,-139816.86389195896,-1817644.311696921,-2062749.2155888814,2813338.9460000005
10,1,10.0,8467190.0,1927270.0,-436586.0931863415,-3010725.0008975794,-3616910.8540839213,8127032.516000001
10,1,30.0,8467190.0,3337349.0,-815407.7721850147,-5563354.105352641,-6672448.589537655,34047801.649000004
10,1,60.0,8467190.0,4265668.0,-873726.073851413,-7551932.678898591,-8801037.536750006,74206135.41700003
10,-1,0.1,8467190.0,24899.0,48381.76569911956,36321.53257283854,9869.121126280996,1185.0920000000003
10,-1,0.5,8467190.0,107122.0,124413.69441058896,175849.92003196263,-60862.96162137366,27036.38
10,-1,1.0,8467190.0,241007.0,149594.5916533009,396279.96928152355,-267893.99362822255,127985.67300000005
10,-1,3.0,8467190.0,805782.0,24882.86326949452,1184103.8139650987,-1230129.766695604,1202851.947
10,-1,5.0,8467190.0,1249534.0,-139938.71206614876,1820740.1342835252,-2070637.838349675,2925550.351
10,-1,10.0,8467190.0,2023320.0,-415010.7822065467,3013702.882870156,-3606765.8250767034,8512294.13
10,-1,30.0,8467190.0,3492798.0,-674288.9274507903,5647391.200060624,-6629046.351511418,35389369.85999998
10,-1,60.0,8467190.0,4428066.0,-606177.21655487,7669196.320697151,-8665043.34525202,75717201.50500001
