bucket,visit,dwell_h,vol_usd,liq_usd,n_liq
840.0,16,0.03532916666666667,410082.87606000004,0.0,0
840.0,17,1.359750277777778,29076114.0943,36544.54911000001,8
840.0,18,0.21495222222222224,13903583.97732,0.849,1
840.0,19,0.014758611111111111,1198851.07602,0.0,0
840.0,20,0.014472777777777779,2776749.3528699996,0.0,0
840.0,21,0.6674811111111111,18601891.08321,0.0,0
840.0,22,0.8081777777777777,65035705.37804,79416.23277000002,19
840.0,23,0.8492875000000001,10188933.77005,0.0,0
840.0,24,0.9103766666666666,7106244.89428,0.0,0
840.0,25,0.043209722222222226,241056.73223,0.0,0
840.0,26,4.296780277777777,12252022.315609999,0.0,0
840.0,27,3.8546819444444442,5864063.80929,0.0,0
840.0,28,0.07138277777777778,794030.37382,0.0,0
840.0,29,4.928403055555556,29783404.94583,0.0,0
840.0,30,0.28822388888888895,2900117.21786,0.0,0
840.0,31,1.37218,46792714.47919,0.0,0
840.0,32,0.3565758333333333,10625026.778719999,0.0,0
840.0,33,1.1862097222222223,30499528.30297,94135.44563999999,51
840.0,34,0.02253861111111111,16954615.58844,10640.13242,3
850.0,1,0.4846188888888889,28631215.68835,0.0,0
850.0,2,0.6548258333333333,10947088.52579,1057982.7350499998,174
850.0,3,1.0262861111111112,4870164.868589999,0.0,0
850.0,4,2.8149805555555556,9051334.15686,0.0,0
850.0,5,0.7183133333333332,1336952.11032,0.0,0
850.0,6,0.034038888888888896,4741960.108270001,2153367.13113,106
850.0,7,4.936585277777778,73392220.07649,318324.34012,71
850.0,8,0.5611055555555555,17560285.81688,22245.59206,14
850.0,9,0.7849286111111112,48211120.449300006,1246.5120100000001,3
850.0,10,0.22903972222222221,6777671.0187800005,0.0,0
850.0,11,0.8411952777777777,1935038.5857099998,0.0,0
850.0,12,2.6498138888888887,3046713.61015,0.0,0
850.0,13,5.776306944444445,13766896.5829,0.0,0
850.0,14,3.4117005555555555,14347831.258510001,0.0,0
850.0,15,0.006872777777777778,145778.08741,0.0,0
850.0,16,0.09139166666666666,11435601.55587,107456.39017,40
850.0,17,0.06584861111111111,804280.7818199999,0.0,0
850.0,18,4.799940555555556,51401682.92825,19267.852800000004,12
850.0,19,0.16766333333333336,11162872.91338,0.0,0
850.0,20,1.1697686111111112,33162510.6111,0.0,0
850.0,21,0.2913880555555556,36165392.80529,52171.974720000006,14
850.0,22,0.21369055555555558,3911352.7792499997,0.0,0
850.0,23,0.20224611111111113,859751.1190600002,0.0,0
850.0,24,0.011885833333333335,72428.02879,0.0,0
850.0,25,4.4427433333333335,25858418.168800004,318.38372000000004,2
850.0,26,2.554480277777778,40588464.66793001,29.007440000000003,1
850.0,27,0.000018055555555555555,2940.3058100000003,0.0,0
850.0,28,0.35818583333333337,6939165.5035999995,0.0,0
850.0,29,1.870542222222222,24488240.14894,48290.22807999999,19
