dt,cfg,qty,lat_open_ms,lat_cancel_ms,n_quote,n_fill,volume,pnl_usd,end_inv
2026-07-26,q1_lat0,1.0,0,0,71692,2069,1925.3000000000038,-6.5084637973553185,5.500000000000005
2026-07-26,q1_lat100,1.0,100,100,77721,1026,866.8000000000002,-0.730607997198895,-0.5999999999999929
2026-07-27,lat0,0.37243947858473,0,0,373572,7522,2745.4893854744982,6.6566390373253626,1.0685288640595867
2026-07-27,lat50,0.37243947858473,50,50,374709,3584,1293.2210428305627,3.166976354322557,0.975605214152697
2026-07-27,lat100,0.37243947858473,100,100,371229,4497,1619.5804469274033,4.694752618666968,1.3409683426443169
2026-07-27,lat300,0.37243947858473,300,300,367480,7733,2792.3649906886426,6.813646008211974,-0.29832402234637106
2026-07-27,open100only,0.37243947858473,100,0,366241,2002,717.2508379888383,1.5527778115600235,0.3480446927374295
2026-07-27,cancel100only,0.37243947858473,0,100,374210,9929,3616.9065176900212,7.887239471956391,1.9236499068901276
2026-07-27,q1_lat0,1.0,0,0,375877,7651,7257.399999999999,18.81287510865505,3.000000000000001
2026-07-27,q1_lat100,1.0,100,100,373546,4579,4211.500000000007,12.640167281126082,3.6999999999999984
2026-07-28,lat0,0.37243947858473,0,0,453324,9918,3645.0748603343527,0.6105290517914983,-0.07635009310987095
2026-07-28,lat50,0.37243947858473,50,50,458712,4705,1719.7847299814061,-1.7471920292665932,0.06852886405958658
2026-07-28,lat100,0.37243947858473,100,100,453399,5941,2172.1774674115095,0.9937691189299009,-0.5353817504655545
2026-07-28,lat300,0.37243947858473,300,300,450728,10048,3673.3811918054776,10.031701404766466,-1.9495344506517716
2026-07-28,open100only,0.37243947858473,100,0,451025,2450,892.2076350093236,-0.19549822734133215,-0.4109869646182516
2026-07-28,cancel100only,0.37243947858473,0,100,453349,13273,4876.941713220993,3.955738305930538,-1.4314711359404169
2026-07-28,q1_lat0,1.0,0,0,454590,10004,9548.099999999977,1.2018261136196173,-0.9000000000000128
2026-07-28,q1_lat100,1.0,100,100,456447,6043,5640.600000000011,-2.052341119911887,-2.200000000000005
2026-07-29,lat0,0.37243947858473,0,0,604102,11717,4336.13109869548,-4.050237760323308,0.05512104283053987
2026-07-29,lat50,0.37243947858473,50,50,602190,6622,2443.894413407632,-6.224762271732828,1.5480446927374294
2026-07-29,lat100,0.37243947858473,100,100,604691,7974,2941.007448789098,3.8544724930181786,1.579515828677841
2026-07-29,lat300,0.37243947858473,300,300,600805,12790,4714.790316572823,2.8147254265399546,0.5519553072625698
2026-07-29,open100only,0.37243947858473,100,0,595252,3028,1111.3476722532773,-4.911192159475643,-0.38975791433892076
2026-07-29,cancel100only,0.37243947858473,0,100,602039,16708,6181.350651769269,-2.295739828405196,1.1621973929236495
2026-07-29,q1_lat0,1.0,0,0,603546,11814,11353.699999999963,-12.117295451414623,0.10000000000000497
2026-07-29,q1_lat100,1.0,100,100,603440,8143,7416.499999999999,5.261436618970862,3.9000000000000083
2026-07-30,lat0,0.37243947858473,0,0,448057,9534,3488.091992550432,3.130465958102981,-0.957541899441344
2026-07-30,lat50,0.37243947858473,50,50,441052,5851,2127.268156424574,-0.22413810089731356,1.0905027932960887
2026-07-30,lat100,0.37243947858473,100,100,444716,7029,2552.0791433889617,-0.39008806861154,-0.6985102420856615
2026-07-30,lat300,0.37243947858473,300,300,439486,11081,4026.9270018611323,-3.770417355272002,1.5959031657355658
2026-07-30,open100only,0.37243947858473,100,0,441130,2686,966.1608938547654,0.03720882484076782,-0.4543761638733704
2026-07-30,cancel100only,0.37243947858473,0,100,444466,13798,5046.011918062759,-1.4201629075014708,-1.1087523277467382
2026-07-30,q1_lat0,1.0,0,0,448416,9697,8927.999999999965,7.825030027777515,-2.200000000000001
2026-07-30,q1_lat100,1.0,100,100,444024,7294,5985.1999999998025,1.4880790229666445,-0.999999999999992
2026-07-31,lat0,0.37243947858473,0,0,453996,9473,3455.326070762727,7.942358788018687,-0.526815642458101
2026-07-31,lat50,0.37243947858473,50,50,440408,5287,1908.600558659256,-3.9084762603223595,1.9417132216014898
2026-07-31,lat100,0.37243947858473,100,100,444299,6260,2256.957541899362,0.917861638453985,2.055865921787709
2026-07-31,lat300,0.37243947858473,300,300,446996,9843,3536.9346368706947,3.6343582268224015,-0.2504655493482267
2026-07-31,open100only,0.37243947858473,100,0,445462,2312,824.3504655493614,-0.9807562414238475,0.5724394785847298
2026-07-31,cancel100only,0.37243947858473,0,100,447123,13460,4899.596089384832,11.240631792791419,1.5014897579143376
2026-07-31,q1_lat0,1.0,0,0,453147,9632,8831.099999999922,19.22885064929774,-1.5000000000000142
2026-07-31,q1_lat100,1.0,100,100,445066,6472,5235.999999999929,7.124571970007025,3.1999999999999935
2026-08-01,lat0,0.37243947858473,0,0,55861,1232,445.9061452514024,-2.0538266382430885,0.11731843575418954
2026-08-01,lat50,0.37243947858473,50,50,57141,960,340.0089385474895,-1.3791156941708556,0.11731843575419021
2026-08-01,lat100,0.37243947858473,100,100,56603,1016,361.2931098696501,-0.8866738898235136,0.08975791433892122
