ts,best_bid,best_ask,bid_sz,ask_sz,mid,microprice,imbalance,spread_bp,stale_ns,dt
1785056400000000000,54.796,54.801,1.8,19.4,54.798500000000004,54.796424528301884,0.0849056603773585,0.9124337345004986,2362559649,2026-07-26
1785056460000000000,54.791,54.8,1.8,18.2,54.7955,54.79181,0.09,1.6424706408373573,79801302,2026-07-26
1785056520000000000,54.778,54.787,1.8,1.8,54.7825,54.78249999999999,0.5,1.6428604025008609,43190557,2026-07-26
1785056580000000000,54.741,54.745,10.9,18.3,54.742999999999995,54.74249315068493,0.3732876712328767,0.7306870284781221,1750634723,2026-07-26
1785056640000000000,54.752,54.753,1.8,16.9,54.7525,54.752096256684496,0.09625668449197862,0.18264006209719547,2369543464,2026-07-26
1785056700000000000,54.731,54.736,9.1,1.8,54.7335,54.7351743119266,0.8348623853211009,0.9135173157198886,3490885288,2026-07-26
1785056760000000000,54.729,54.733,29.0,1.8,54.730999999999995,54.73276623376622,0.9415584415584415,0.7308472346563708,11393696903,2026-07-26
1785056820000000000,54.687,54.688,37.0,20.1,54.6875,54.68764798598949,0.647985989492119,0.18285714285801596,669108372,2026-07-26
1785056880000000000,54.646,54.654,1.8,18.3,54.650000000000006,54.64671641791045,0.08955223880597014,1.4638609332118335,392144442,2026-07-26
1785056940000000000,54.61,54.612,113.0,5.1,54.611000000000004,54.61191363251481,0.9568162574089755,0.3662265843882082,143724006,2026-07-26
1785057000000000000,54.653,54.657,10.9,21.4,54.655,54.65434984520123,0.3374613003095976,0.7318635074554539,3206745423,2026-07-26
1785057060000000000,54.705,54.713,10.9,18.3,54.709,54.70798630136986,0.3732876712328767,1.462282257033152,47546261,2026-07-26
1785057120000000000,54.688,54.697,43.5,1.8,54.6925,54.696642384105964,0.9602649006622517,1.645563834163796,2232529309,2026-07-26
1785057180000000000,54.691,54.697,24.4,1.8,54.694,54.69658778625954,0.9312977099236641,1.09701246937511,2524334950,2026-07-26
1785057240000000000,54.68,54.686,13.4,1.8,54.683,54.68528947368421,0.881578947368421,1.0972331437558707,8132903722,2026-07-26
